id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
8512,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',1521.9407,2,0.8739,1
5124,4.1,b'4.1-ngram.next_user_utterance__thank',412.7607,31,0.7227,2
5235,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.7170,3
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.6516,4
33,4.1,b'4.1-ngram.current_user_utterance__address',350.4873,49,0.6299,5
8114,7,b'7-syntactic_feature__root_word__next_system_utterance__like',1172.1812,3,0.6287,6
4120,4.1,b'4.1-ngram.next_system_utterance__sure',60.0399,237,0.5731,7
6594,5,b'5-phrase_feature__noun_phrases__next_system_utterance__road',232.5560,73,0.5701,8
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.5223,9
5608,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,32,0.4889,10
6754,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.4498,11
2561,4.1,b'4.1-ngram.next_system_utterance__like',388.2541,38,0.4031,12
5360,5,b'5-phrase_feature__noun_phrases__current_user_utterance__code',112.5779,134,0.3760,13
6467,5,b'5-phrase_feature__noun_phrases__next_system_utterance__number',579.7128,10,0.3640,14
6894,5,b'5-phrase_feature__noun_phrases__next_user_utterance__address',469.2006,21,0.3637,15
6511,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',579.7128,11,0.3547,16
6510,5,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',579.7128,12,0.3333,17
506,4.1,b'4.1-ngram.current_user_utterance__phone number',201.5084,86,0.3159,18
151,4.1,b'4.1-ngram.current_user_utterance__code',58.8962,241,0.3132,19
17,2.1,b'2.1-user_action_words.current_user_utterance__phone',407.0356,35,0.2782,20
6588,5,b'5-phrase_feature__noun_phrases__next_system_utterance__right',335.9529,54,0.2774,21
6947,5,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',842.5880,5,0.2707,22
8097,7,b'7-syntactic_feature__root_word__next_system_utterance__did',83.0472,182,0.2670,23
5649,5,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',407.0356,36,0.2619,24
461,4.1,b'4.1-ngram.current_user_utterance__number',201.0520,87,0.2439,25
8367,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',212.9693,81,0.2071,26
7421,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.1927,27
4585,2.1,b'2.1-user_action_words.next_user_utterance__address',467.7490,23,0.1743,28
4731,4.1,b'4.1-ngram.next_user_utterance__doesnt',101.6540,152,0.1713,29
4933,4.1,b'4.1-ngram.next_user_utterance__number',213.1081,80,0.1703,30
8129,7,b'7-syntactic_feature__root_word__next_system_utterance__sorri',467.9169,22,0.1690,31
8564,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=0',0.0000,322,0.1449,32
2116,4.1,b'4.1-ngram.next_system_utterance__food',95.8159,161,0.1401,33
5674,5,b'5-phrase_feature__noun_phrases__current_user_utterance__post_code',116.1049,130,0.1374,34
6023,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,108,0.1292,35
31,3,b'3-time_feature__turns_to_end',7328.0899,0,0.1287,36
4784,4.1,b'4.1-ngram.next_user_utterance__good',342.6585,51,0.1280,37
6458,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nice_restaurant',86.2284,171,0.1271,38
7259,5,b'5-phrase_feature__noun_phrases__next_user_utterance__post_code',127.9285,122,0.1136,39
4673,4.1,b'4.1-ngram.next_user_utterance__bye',341.2626,52,0.1040,40
6071,5,b'5-phrase_feature__noun_phrases__next_system_utterance__chesterton',91.8150,165,0.1024,41
7697,7,b'7-syntactic_feature__obj_word__next_system_utterance__you',80.4661,187,0.1000,42
3550,4.1,b'4.1-ngram.next_system_utterance__right',83.0720,181,0.0984,43
5232,4.1,b'4.1-ngram.next_user_utterance__yes',202.5400,84,0.0981,44
6953,5,b'5-phrase_feature__noun_phrases__next_user_utterance__care',434.4164,25,0.0935,45
6198,5,b'5-phrase_feature__noun_phrases__next_system_utterance__food',113.8363,133,0.0872,46
6378,5,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',367.7857,44,0.0815,47
5128,4.1,b'4.1-ngram.next_user_utterance__thank goodbye',67.7185,213,0.0796,48
8566,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=10',0.0000,324,0.0792,49
8573,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1005',0.0000,330,0.0791,50
6514,5,b'5-phrase_feature__noun_phrases__next_system_utterance__pizza',71.9939,208,0.0772,51
4610,2.2,b'2.2-#user_action_words.next_user_utterance__utterance_length',156.4017,104,0.0745,52
8183,7,b'7-syntactic_feature__root_word__next_user_utterance__code',55.4890,253,0.0745,53
8090,7,b'7-syntactic_feature__root_word__next_system_utterance__c.b',129.5442,121,0.0740,54
5691,5,b'5-phrase_feature__noun_phrases__current_user_utterance__priced_restaurant',120.8797,128,0.0738,55
8568,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1000',0.0000,326,0.0731,56
5215,4.1,b'4.1-ngram.next_user_utterance__whats address',62.8542,225,0.0712,57
7701,7,b'7-syntactic_feature__obj_word__next_user_utterance__bye',767.8040,9,0.0709,58
8579,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1010',0.0000,337,0.0669,59
8480,7,b'7-syntactic_feature__subj_word__next_system_utterance__number',578.6295,13,0.0665,60
8570,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1002',0.0000,328,0.0652,61
8598,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1028',0.0000,313,0.0646,62
7780,7,b'7-syntactic_feature__root_word__current_user_utterance__code',57.1775,249,0.0644,63
8585,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1016',0.0000,318,0.0620,64
526,4.1,b'4.1-ngram.current_user_utterance__post code',62.6675,227,0.0612,65
6737,5,b'5-phrase_feature__noun_phrases__next_system_utterance__something',335.0703,55,0.0603,66
8578,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=101',0.0000,336,0.0586,67
0,1,b'1-utterance_length.current_user_utterance__utterance_length',116.8619,129,0.0586,68
525,4.1,b'4.1-ngram.current_user_utterance__post',62.7425,226,0.0586,69
7865,7,b'7-syntactic_feature__root_word__current_user_utterance__number',163.3082,100,0.0578,70
6541,5,b'5-phrase_feature__noun_phrases__next_system_utterance__prices',105.6693,145,0.0550,71
6238,5,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',288.3986,61,0.0542,72
6500,5,b'5-phrase_feature__noun_phrases__next_system_utterance__part',383.2503,41,0.0537,73
4586,2.1,b'2.1-user_action_words.next_user_utterance__ani',298.2324,60,0.0536,74
8604,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1033',0.0000,341,0.0529,75
8109,7,b'7-syntactic_feature__root_word__next_system_utterance__is',55.6370,252,0.0512,76
959,1,b'1-utterance_length.next_system_utterance__utterance_length',325.2387,58,0.0503,77
4978,4.1,b'4.1-ngram.next_user_utterance__phone',206.4758,82,0.0501,78
30,3,b'3-time_feature__turns_from_start',2873.4959,1,0.0498,79
561,4.1,b'4.1-ngram.current_user_utterance__restaurant',91.1197,167,0.0489,80
8125,7,b'7-syntactic_feature__root_word__next_system_utterance__restaur',167.3413,95,0.0489,81
8586,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1017',0.0000,300,0.0484,82
8339,7,b'7-syntactic_feature__root_word__next_user_utterance__thank',938.0234,4,0.0477,83
7194,5,b'5-phrase_feature__noun_phrases__next_user_utterance__number',520.1140,17,0.0473,84
8569,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1001',0.0000,327,0.0472,85
8612,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1040',0.0000,371,0.0467,86
7081,5,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',108.7359,136,0.0462,87
5546,5,b'5-phrase_feature__noun_phrases__current_user_utterance__looking',197.0900,89,0.0462,88
12,2.1,b'2.1-user_action_words.current_user_utterance__moder',137.8490,111,0.0456,89
8581,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1012',0.0000,339,0.0456,90
7444,6,b'6-entity_feature__entity__next_system_utterance__1_NUMBER',78.7023,192,0.0448,91
4599,2.1,b'2.1-user_action_words.next_user_utterance__number',520.1140,16,0.0439,92
8372,7,b'7-syntactic_feature__subj_word__current_user_utterance__address',103.4077,148,0.0435,93
8613,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1041',0.0000,372,0.0431,94
8615,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1043',0.0000,374,0.0423,95
8580,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1011',0.0000,338,0.0420,96
8596,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1026',0.0000,310,0.0419,97
5126,4.1,b'4.1-ngram.next_user_utterance__thank good',331.0370,56,0.0412,98
