id,prefix,name,chi2,pval
30,b'3-time_feature__turns_to_end',3,10060.3908,0.0000
29,b'3-time_feature__turns_from_start',3,2854.4766,0.0000
12077,b'7-syntactic_feature__subj_word__next_system_utterance__you',7,2188.7270,0.0000
9172,b'5-phrase_feature__noun_phrases__next_system_utterance__example',5,1813.1816,0.0000
9351,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',5,1159.8529,0.0000
11583,b'7-syntactic_feature__root_word__next_system_utterance__look',7,1120.8550,0.0000
11554,b'7-syntactic_feature__root_word__next_system_utterance__exampl',7,834.1992,0.0000
11857,b'7-syntactic_feature__root_word__next_user_utterance__thank',7,774.3776,0.0000
11402,b'7-syntactic_feature__root_word__current_user_utterance__what',7,696.0335,0.0000
6960,b'1-utterance_length.next_user_utterance__utterance_length',1,665.9143,0.0000
11581,b'7-syntactic_feature__root_word__next_system_utterance__like',7,617.6721,0.0000
11887,b'7-syntactic_feature__root_word__next_user_utterance__what',7,562.5987,0.0000
9857,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',5,560.2088,0.0000
10075,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',5,554.4238,0.0000
24,b'2.2-#user_action_words.current_user_utterance__utterance_length',2.2,543.3024,0.0000
11600,b'7-syntactic_feature__root_word__next_system_utterance__rang',7,541.9996,0.0000
9437,b'5-phrase_feature__noun_phrases__next_system_utterance__particular_venue',5,533.6286,0.0000
1,b'2.1-user_action_words.current_user_utterance__address',2.1,518.1937,0.0000
7935,b'5-phrase_feature__noun_phrases__current_user_utterance__address',5,517.1957,0.0000
9447,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',5,511.3760,0.0000
9448,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',5,511.3760,0.0000
9414,b'5-phrase_feature__noun_phrases__next_system_utterance__number',5,511.3760,0.0000
9315,b'5-phrase_feature__noun_phrases__next_system_utterance__kind',5,495.5897,0.0000
11099,b'7-syntactic_feature__obj_word__next_user_utterance__bye',7,466.5424,0.0000
10241,b'5-phrase_feature__noun_phrases__next_user_utterance__number',5,449.7773,0.0000
6975,b'2.1-user_action_words.next_user_utterance__number',2.1,449.7773,0.0000
10287,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',5,443.1393,0.0000
6977,b'2.1-user_action_words.next_user_utterance__phone',2.1,443.1393,0.0000
11092,b'7-syntactic_feature__obj_word__next_system_utterance__type',7,442.7794,0.0000
9703,b'5-phrase_feature__noun_phrases__next_system_utterance__type',5,442.7794,0.0000
10290,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',5,438.1765,0.0000
8484,b'5-phrase_feature__noun_phrases__current_user_utterance__number',5,432.7138,0.0000
14,b'2.1-user_action_words.current_user_utterance__number',2.1,432.7138,0.0000
16,b'2.1-user_action_words.current_user_utterance__phone',2.1,432.1026,0.0000
8530,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',5,432.1026,0.0000
8533,b'5-phrase_feature__noun_phrases__current_user_utterance__phone_number',5,430.3287,0.0000
9767,b'5-phrase_feature__noun_phrases__next_user_utterance__address',5,421.5448,0.0000
6962,b'2.1-user_action_words.next_user_utterance__address',2.1,421.5448,0.0000
9867,b'5-phrase_feature__noun_phrases__next_user_utterance__care',5,419.7978,0.0000
9389,b'5-phrase_feature__noun_phrases__next_system_utterance__mind',5,415.2967,0.0000
11086,b'7-syntactic_feature__obj_word__next_system_utterance__part',7,415.2967,0.0000
11601,b'7-syntactic_feature__root_word__next_system_utterance__restaur',7,404.8427,0.0000
11568,b'7-syntactic_feature__root_word__next_system_utterance__have',7,397.1010,0.0000
12039,b'7-syntactic_feature__subj_word__next_system_utterance__number',7,376.5040,0.0000
6984,b'2.2-#user_action_words.next_user_utterance__utterance_length',2.2,358.3450,0.0000
9719,b'5-phrase_feature__noun_phrases__next_system_utterance__venue',5,356.3895,0.0000
9643,b'5-phrase_feature__noun_phrases__next_system_utterance__something',5,344.8455,0.0000
40,b'4.1-ngram.current_user_utterance__address',4.1,344.7469,0.0000
11606,b'7-syntactic_feature__root_word__next_system_utterance__someth',7,339.0116,0.0000
7756,b'4.1-ngram.next_user_utterance__thank',4.1,333.4715,0.0000
9132,b'5-phrase_feature__noun_phrases__next_system_utterance__courses',5,332.8822,0.0000
9361,b'5-phrase_feature__noun_phrases__next_system_utterance__main_courses',5,332.8822,0.0000
9519,b'5-phrase_feature__noun_phrases__next_system_utterance__pounds',5,332.8822,0.0000
11692,b'7-syntactic_feature__root_word__next_user_utterance__dont',7,326.9468,0.0000
9118,b'5-phrase_feature__noun_phrases__next_system_utterance__college',5,317.6879,0.0000
10080,b'5-phrase_feature__noun_phrases__next_user_utterance__goodbye',5,311.8463,0.0000
12044,b'7-syntactic_feature__subj_word__next_system_utterance__price',7,310.9899,0.0000
1325,b'1-utterance_length.next_system_utterance__utterance_length',1,301.5740,0.0000
12029,b'7-syntactic_feature__subj_word__next_system_utterance__it',7,299.3307,0.0000
11582,b'7-syntactic_feature__root_word__next_system_utterance__locat',7,273.3423,0.0000
0,b'1-utterance_length.current_user_utterance__utterance_length',1,255.2932,0.0000
11580,b'7-syntactic_feature__root_word__next_system_utterance__let',7,253.6060,0.0000
8828,b'5-phrase_feature__noun_phrases__current_user_utterance__whats',5,251.1847,0.0000
7080,b'4.1-ngram.next_user_utterance__care',4.1,249.4201,0.0000
10346,b'5-phrase_feature__noun_phrases__next_user_utterance__restaurant',5,240.2505,0.0000
