id	name	prefix	chi2	pval
0	5-phrase_feature__noun_phrases__next_system_utterance__request	5	1238.8608	0.0000
1	1-utterance_length.next_system_utterance__utterance_length	1	1107.0726	0.0000
2	5-phrase_feature__noun_phrases__next_system_utterance__nyou	5	1030.5874	0.0000
3	4.2-edit_distance__edit_distance	4.2	977.2992	0.0000
4	5-phrase_feature__noun_phrases__#overlop	5	945.8326	0.0000
5	5-phrase_feature__noun_phrases__next_system_utterance__nfor_example	5	854.5500	0.0000
6	5-phrase_feature__noun_phrases__next_system_utterance__\_nfor	5	854.5500	0.0000
7	5-phrase_feature__noun_phrases__next_system_utterance__nfor	5	854.5500	0.0000
8	5-phrase_feature__noun_phrases__next_system_utterance__\_nfor_example	5	854.5500	0.0000
9	8.1-lda_feature.next_system_utterance__topic_46	8.1	816.2904	0.0000
10	3-time_feature__turns_to_end	3	796.6823	0.0000
11	5-phrase_feature__noun_phrases__next_system_utterance__\_nyou	5	774.3829	0.0000
12	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nyou	5	774.3829	0.0000
13	5-phrase_feature__noun_phrases__next_system_utterance__example	5	615.7828	0.0000
14	5-phrase_feature__noun_phrases__next_system_utterance__yes/no	5	471.1012	0.0000
15	7-syntactic_feature__subj_word__next_system_utterance__title	7	464.3538	0.0000
16	7-syntactic_feature__root_word__next_system_utterance__''	7	449.6206	0.0000
17	4.1-ngram.next_user_utterance__yes	4.1	409.3240	0.0000
18	7-syntactic_feature__root_word__next_user_utterance__Yes	7	404.5457	0.0000
19	7-syntactic_feature__root_word__next_system_utterance__Did	7	384.2477	0.0000
20	1-utterance_length.next_user_utterance__utterance_length	1	380.6399	0.0000
21	7-syntactic_feature__root_word__next_system_utterance__call	7	371.8426	0.0000
22	5-phrase_feature__noun_phrases__next_system_utterance__ntry	5	347.7673	0.0000
23	5-phrase_feature__noun_phrases__next_system_utterance__\_ntry	5	347.7673	0.0000
24	3-time_feature__end_of_session	3	340.6590	0.0000
25	5-phrase_feature__noun_phrases__next_system_utterance__n1	5	328.9191	0.0000
26	6-entity_feature__entity__next_system_utterance__halloween_DATE	6	300.1360	0.0000
27	5-phrase_feature__noun_phrases__next_system_utterance__halloween_party	5	300.1360	0.0000
28	5-phrase_feature__noun_phrases__next_system_utterance__great	5	295.1939	0.0000
29	5-phrase_feature__noun_phrases__next_system_utterance__sorry	5	295.0762	0.0000
30	7-syntactic_feature__root_word__next_system_utterance__Great	7	293.5066	0.0000
31	5-phrase_feature__noun_phrases__next_system_utterance__n2	5	289.5385	0.0000
32	5-phrase_feature__noun_phrases__next_system_utterance__nhere	5	288.9919	0.0000
33	5-phrase_feature__noun_phrases__next_system_utterance__\_nhere	5	288.2307	0.0000
34	7-syntactic_feature__obj_word__next_system_utterance__items	7	286.7585	0.0000
35	3-time_feature__turns_from_start	3	281.6924	0.0000
36	7-syntactic_feature__root_word__next_system_utterance__discard	7	281.5947	0.0000
37	7-syntactic_feature__root_word__next_system_utterance__added	7	279.7266	0.0000
38	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nhere	5	279.4966	0.0000
39	7-syntactic_feature__obj_word__next_system_utterance__that	7	275.1670	0.0000
40	5-phrase_feature__noun_phrases__next_system_utterance__leslie	5	275.1242	0.0000
41	7-syntactic_feature__root_word__next_system_utterance__lunch	7	275.1242	0.0000
42	7-syntactic_feature__obj_word__next_system_utterance__request	7	270.5717	0.0000
43	7-syntactic_feature__root_word__next_system_utterance__find	7	265.9016	0.0000
44	7-syntactic_feature__obj_word__next_system_utterance__reminder	7	261.9689	0.0000
45	7-syntactic_feature__root_word__next_system_utterance__nTry	7	261.4925	0.0000
46	5-phrase_feature__noun_phrases__next_system_utterance__n3	5	261.2851	0.0000
47	5-phrase_feature__noun_phrases__next_system_utterance__party	5	256.0013	0.0000
48	7-syntactic_feature__subj_word__next_system_utterance__-LSB-	7	244.8315	0.0000
49	7-syntactic_feature__root_word__next_system_utterance__understand	7	237.3752	0.0000
50	7-syntactic_feature__root_word__next_system_utterance__learning	7	232.4609	0.0000
51	5-phrase_feature__noun_phrases__next_system_utterance__learning	5	232.4609	0.0000
52	6-entity_feature__entity__#overlop	6	231.8153	0.0000
53	7-syntactic_feature__subj_word__next_system_utterance__reminder	7	231.0623	0.0000
54	7-syntactic_feature__subj_word__next_system_utterance__nYou	7	226.6926	0.0000
55	7-syntactic_feature__root_word__next_system_utterance__What	7	225.5433	0.0000
56	5-phrase_feature__noun_phrases__next_system_utterance__n4	5	225.3156	0.0000
57	6-entity_feature__entity__next_system_utterance__\_NUMBER	6	224.6000	0.0000
58	7-syntactic_feature__root_word__next_system_utterance__Can	7	203.5088	0.0000
59	4.1-ngram.next_system_utterance__nyou discard	4.1	203.3550	0.0000
60	4.1-ngram.next_system_utterance__nyou discard request	4.1	203.3550	0.0000
61	5-phrase_feature__noun_phrases__next_system_utterance__n5	5	202.8591	0.0000
62	4.1-ngram.next_system_utterance__discard request	4.1	198.2175	0.0000
63	6-entity_feature__entity__next_system_utterance__3.30_NUMBER	6	196.0242	0.0000
64	4.1-ngram.next_system_utterance__request	4.1	194.0559	0.0000
65	5-phrase_feature__noun_phrases__next_system_utterance__ok	5	193.6281	0.0000
66	6-entity_feature__entity__next_system_utterance__friday_DATE	6	192.8034	0.0000
67	5-phrase_feature__noun_phrases__next_system_utterance__items	5	191.4949	0.0000
68	5-phrase_feature__noun_phrases__next_system_utterance__friday	5	188.4538	0.0000
69	5-phrase_feature__noun_phrases__have_overlop	5	187.5155	0.0000
70	4.1-ngram.next_system_utterance__discard	4.1	185.9521	0.0000
71	7-syntactic_feature__root_word__next_system_utterance__'s	7	182.6429	0.0000
72	5-phrase_feature__noun_phrases__jaccard_similarity	5	181.7404	0.0000
73	5-phrase_feature__noun_phrases__next_system_utterance__time	5	177.3108	0.0000
74	4.1-ngram.next_system_utterance__nyou	4.1	175.5454	0.0000
75	7-syntactic_feature__root_word__next_system_utterance__set	7	169.9142	0.0000
76	5-phrase_feature__noun_phrases__next_system_utterance__n6	5	168.6344	0.0000
77	5-phrase_feature__noun_phrases__next_system_utterance__list	5	168.3188	0.0000
78	6-entity_feature__entity__next_system_utterance__7_NUMBER	6	167.9410	0.0000
79	7-syntactic_feature__root_word__next_system_utterance__Alright	7	165.2803	0.0000
80	5-phrase_feature__noun_phrases__next_system_utterance__alright	5	163.9961	0.0000
81	7-syntactic_feature__root_word__next_system_utterance__\	7	158.5718	0.0000
82	6-entity_feature__entity__have_overlop	6	154.9983	0.0000
83	7-syntactic_feature__root_word__next_system_utterance__get	7	152.5429	0.0000
84	4.1-ngram.next_system_utterance__nfor	4.1	147.8702	0.0000
85	4.1-ngram.next_system_utterance__nfor example	4.1	147.8702	0.0000
86	7-syntactic_feature__subj_word__next_system_utterance__you	7	147.6251	0.0000
87	7-syntactic_feature__root_word__next_system_utterance__removed	7	145.5587	0.0000
88	5-phrase_feature__noun_phrases__next_system_utterance__n7	5	139.0826	0.0000
89	5-phrase_feature__noun_phrases__current_user_utterance__reminder	5	138.8225	0.0000
90	6-entity_feature__entity__jaccard_similarity	6	137.9378	0.0000
91	8.1-lda_feature.next_system_utterance__topic_39	8.1	136.7253	0.0000
92	4.1-ngram.next_user_utterance__discard	4.1	135.5368	0.0000
93	7-syntactic_feature__obj_word__next_system_utterance__task	7	135.0232	0.0000
94	7-syntactic_feature__root_word__current_user_utterance__Remind	7	133.9669	0.0000
95	7-syntactic_feature__root_word__next_system_utterance__clarify	7	130.0082	0.0000
96	4.1-ngram.next_system_utterance__reminder nfor	4.1	128.7207	0.0000
97	4.1-ngram.next_system_utterance__reminder nfor example	4.1	128.7207	0.0000
98	5-phrase_feature__noun_phrases__next_system_utterance__n8	5	128.6692	0.0000
99	5-phrase_feature__noun_phrases__next_system_utterance__10pm	5	126.0043	0.0000
100	5-phrase_feature__noun_phrases__next_system_utterance__n'show_list	5	124.5136	0.0000
