id	name	chi2	pval
0	5-phrase_feature__noun_phrases__next_system_utterance__request	1238.8608	0.0000
1	1-utterance_length.next_system_utterance__utterance_length	1107.0726	0.0000
2	5-phrase_feature__noun_phrases__next_system_utterance__nyou	1030.5874	0.0000
3	4.2-edit_distance__edit_distance	977.2992	0.0000
4	5-phrase_feature__noun_phrases__#overlop	945.8326	0.0000
5	5-phrase_feature__noun_phrases__next_system_utterance__nfor_example	854.5500	0.0000
6	5-phrase_feature__noun_phrases__next_system_utterance__\_nfor	854.5500	0.0000
7	5-phrase_feature__noun_phrases__next_system_utterance__nfor	854.5500	0.0000
8	5-phrase_feature__noun_phrases__next_system_utterance__\_nfor_example	854.5500	0.0000
9	8.1-lda_feature.next_system_utterance__topic_46	816.2904	0.0000
10	3-time_feature__turns_to_end	796.6823	0.0000
11	5-phrase_feature__noun_phrases__next_system_utterance__\_nyou	774.3829	0.0000
12	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nyou	774.3829	0.0000
13	5-phrase_feature__noun_phrases__next_system_utterance__example	615.7828	0.0000
14	5-phrase_feature__noun_phrases__next_system_utterance__yes/no	471.1012	0.0000
15	7-syntactic_feature__subj_word__next_system_utterance__title	464.3538	0.0000
16	7-syntactic_feature__root_word__next_system_utterance__''	449.6206	0.0000
17	4.1-ngram.next_user_utterance__yes	409.3240	0.0000
18	7-syntactic_feature__root_word__next_user_utterance__Yes	404.5457	0.0000
19	7-syntactic_feature__root_word__next_system_utterance__Did	384.2477	0.0000
20	1-utterance_length.next_user_utterance__utterance_length	380.6399	0.0000
21	7-syntactic_feature__root_word__next_system_utterance__call	371.8426	0.0000
22	5-phrase_feature__noun_phrases__next_system_utterance__ntry	347.7673	0.0000
23	5-phrase_feature__noun_phrases__next_system_utterance__\_ntry	347.7673	0.0000
24	3-time_feature__end_of_session	340.6590	0.0000
25	5-phrase_feature__noun_phrases__next_system_utterance__n1	328.9191	0.0000
26	6-entity_feature__entity__next_system_utterance__halloween_DATE	300.1360	0.0000
27	5-phrase_feature__noun_phrases__next_system_utterance__halloween_party	300.1360	0.0000
28	5-phrase_feature__noun_phrases__next_system_utterance__great	295.1939	0.0000
29	5-phrase_feature__noun_phrases__next_system_utterance__sorry	295.0762	0.0000
30	7-syntactic_feature__root_word__next_system_utterance__Great	293.5066	0.0000
31	5-phrase_feature__noun_phrases__next_system_utterance__n2	289.5385	0.0000
32	5-phrase_feature__noun_phrases__next_system_utterance__nhere	288.9919	0.0000
33	5-phrase_feature__noun_phrases__next_system_utterance__\_nhere	288.2307	0.0000
34	7-syntactic_feature__obj_word__next_system_utterance__items	286.7585	0.0000
35	3-time_feature__turns_from_start	281.6924	0.0000
36	7-syntactic_feature__root_word__next_system_utterance__discard	281.5947	0.0000
37	7-syntactic_feature__root_word__next_system_utterance__added	279.7266	0.0000
38	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nhere	279.4966	0.0000
39	7-syntactic_feature__obj_word__next_system_utterance__that	275.1670	0.0000
40	5-phrase_feature__noun_phrases__next_system_utterance__leslie	275.1242	0.0000
41	7-syntactic_feature__root_word__next_system_utterance__lunch	275.1242	0.0000
42	7-syntactic_feature__obj_word__next_system_utterance__request	270.5717	0.0000
43	7-syntactic_feature__root_word__next_system_utterance__find	265.9016	0.0000
44	7-syntactic_feature__obj_word__next_system_utterance__reminder	261.9689	0.0000
45	7-syntactic_feature__root_word__next_system_utterance__nTry	261.4925	0.0000
46	5-phrase_feature__noun_phrases__next_system_utterance__n3	261.2851	0.0000
47	5-phrase_feature__noun_phrases__next_system_utterance__party	256.0013	0.0000
