id,prefix,name,chi2,pval
32,b'3-time_feature__turns_to_end',3,7328.0899,0.0000
31,b'3-time_feature__turns_from_start',3,2873.4959,0.0000
8524,b'7-syntactic_feature__subj_word__next_system_utterance__you',7,1521.9407,0.0000
8126,b'7-syntactic_feature__root_word__next_system_utterance__like',7,1172.1812,0.0000
8351,b'7-syntactic_feature__root_word__next_user_utterance__thank',7,938.0234,0.0000
6953,b'5-phrase_feature__noun_phrases__next_user_utterance__bye',5,842.5880,0.0000
7080,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye',5,839.6950,0.0000
7705,b'7-syntactic_feature__obj_word__next_system_utterance__kind',7,819.2124,0.0000
6338,b'5-phrase_feature__noun_phrases__next_system_utterance__kind',5,806.6716,0.0000
7713,b'7-syntactic_feature__obj_word__next_user_utterance__bye',7,767.8040,0.0000
6473,b'5-phrase_feature__noun_phrases__next_system_utterance__number',5,579.7128,0.0000
6517,b'5-phrase_feature__noun_phrases__next_system_utterance__phone_number',5,579.7128,0.0000
6516,b'5-phrase_feature__noun_phrases__next_system_utterance__phone',5,579.7128,0.0000
8492,b'7-syntactic_feature__subj_word__next_system_utterance__number',7,578.6295,0.0000
4587,b'1-utterance_length.next_user_utterance__utterance_length',1,544.2346,0.0000
7427,b'6-entity_feature__entity__next_system_utterance__01223_DATE',6,529.1960,0.0000
7200,b'5-phrase_feature__noun_phrases__next_user_utterance__number',5,520.1140,0.0000
4602,b'2.1-user_action_words.next_user_utterance__number',2.1,520.1140,0.0000
7243,b'5-phrase_feature__noun_phrases__next_user_utterance__phone_number',5,516.6008,0.0000
7242,b'5-phrase_feature__noun_phrases__next_user_utterance__phone',5,509.6378,0.0000
4604,b'2.1-user_action_words.next_user_utterance__phone',2.1,509.6378,0.0000
6900,b'5-phrase_feature__noun_phrases__next_user_utterance__address',5,469.2006,0.0000
8141,b'7-syntactic_feature__root_word__next_system_utterance__sorri',7,467.9169,0.0000
4588,b'2.1-user_action_words.next_user_utterance__address',2.1,467.7490,0.0000
7957,b'7-syntactic_feature__root_word__current_user_utterance__what',7,458.4822,0.0000
6959,b'5-phrase_feature__noun_phrases__next_user_utterance__care',5,434.4164,0.0000
1,b'2.1-user_action_words.current_user_utterance__address',2.1,426.6824,0.0000
5241,b'5-phrase_feature__noun_phrases__current_user_utterance__address',5,425.7890,0.0000
7706,b'7-syntactic_feature__obj_word__next_system_utterance__part',7,424.7631,0.0000
8117,b'7-syntactic_feature__root_word__next_system_utterance__have',7,424.7631,0.0000
6431,b'5-phrase_feature__noun_phrases__next_system_utterance__mind',5,424.7631,0.0000
5127,b'4.1-ngram.next_user_utterance__thank',4.1,412.7607,0.0000
15,b'2.1-user_action_words.current_user_utterance__number',2.1,410.6642,0.0000
5614,b'5-phrase_feature__noun_phrases__current_user_utterance__number',5,410.6642,0.0000
5656,b'5-phrase_feature__noun_phrases__current_user_utterance__phone_number',5,407.2975,0.0000
5655,b'5-phrase_feature__noun_phrases__current_user_utterance__phone',5,407.0356,0.0000
17,b'2.1-user_action_words.current_user_utterance__phone',2.1,407.0356,0.0000
8478,b'7-syntactic_feature__subj_word__next_system_utterance__i',7,397.4483,0.0000
2564,b'4.1-ngram.next_system_utterance__like',4.1,388.2541,0.0000
4595,b'2.1-user_action_words.next_user_utterance__food',2.1,385.1523,0.0000
7059,b'5-phrase_feature__noun_phrases__next_user_utterance__food',5,385.1523,0.0000
6506,b'5-phrase_feature__noun_phrases__next_system_utterance__part',5,383.2503,0.0000
8374,b'7-syntactic_feature__root_word__next_user_utterance__what',7,380.8588,0.0000
5720,b'5-phrase_feature__noun_phrases__current_user_utterance__restaurant',5,373.9228,0.0000
6384,b'5-phrase_feature__noun_phrases__next_system_utterance__looking',5,367.7857,0.0000
2128,b'4.1-ngram.next_system_utterance__food like',4.1,363.3680,0.0000
2463,b'4.1-ngram.next_system_utterance__kind food like',4.1,363.2290,0.0000
2461,b'4.1-ngram.next_system_utterance__kind',4.1,355.3460,0.0000
2462,b'4.1-ngram.next_system_utterance__kind food',4.1,355.3460,0.0000
34,b'4.1-ngram.current_user_utterance__address',4.1,350.4873,0.0000
7707,b'7-syntactic_feature__obj_word__next_system_utterance__someth',7,349.5679,0.0000
4787,b'4.1-ngram.next_user_utterance__good',4.1,342.6585,0.0000
4676,b'4.1-ngram.next_user_utterance__bye',4.1,341.2626,0.0000
4788,b'4.1-ngram.next_user_utterance__good bye',4.1,339.5286,0.0000
6594,b'5-phrase_feature__noun_phrases__next_system_utterance__right',5,335.9529,0.0000
6743,b'5-phrase_feature__noun_phrases__next_system_utterance__something',5,335.0703,0.0000
5129,b'4.1-ngram.next_user_utterance__thank good',4.1,331.0370,0.0000
5130,b'4.1-ngram.next_user_utterance__thank good bye',4.1,328.6396,0.0000
962,b'1-utterance_length.next_system_utterance__utterance_length',1,325.2387,0.0000
8210,b'7-syntactic_feature__root_word__next_user_utterance__dont',7,319.4758,0.0000
4589,b'2.1-user_action_words.next_user_utterance__ani',2.1,298.2324,0.0000
6244,b'5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant',5,288.3986,0.0000
2780,b'4.1-ngram.next_system_utterance__mind',4.1,278.7280,0.0000
4396,b'4.1-ngram.next_system_utterance__town mind',4.1,278.7280,0.0000
