id,name,prefix,chi2,pval
0,b'5-phrase_feature__noun_phrases__next_system_utterance__replacement_thingy',b'5',1501.9779,0.0000
1,b'5-phrase_feature__noun_phrases__next_system_utterance__nutz',b'5',1238.2639,0.0000
2,b'5-phrase_feature__noun_phrases__next_system_utterance__new_style_clip',b'5',1040.3301,0.0000
3,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nbut',b'5',1040.3301,0.0000
4,b'5-phrase_feature__noun_phrases__next_system_utterance__new_time',b'5',1040.3301,0.0000
5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nclick',b'5',1040.3301,0.0000
6,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nor',b'5',935.3846,0.0000
7,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry_searching',b'5',935.3846,0.0000
8,b'3-time_feature__turns_to_end',b'3',897.9034,0.0000
9,b'5-phrase_feature__noun_phrases__next_system_utterance__eve',b'5',743.7167,0.0000
10,b'3-time_feature__turns_from_start',b'3',671.9179,0.0000
11,b'7-syntactic_feature__subj_word__next_system_utterance__tampon',b'7',506.3669,0.0000
12,b'5-phrase_feature__noun_phrases__next_system_utterance__lemons_x2',b'5',388.6406,0.0000
13,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nremoving',b'5',365.0066,0.0000
14,b'5-phrase_feature__noun_phrases__next_system_utterance__nremoving',b'5',365.0066,0.0000
15,b'5-phrase_feature__noun_phrases__next_system_utterance__son',b'5',355.6549,0.0000
16,b'6-entity_feature__entity__next_system_utterance__greta_PERSON',b'6',351.7964,0.0000
17,b'5-phrase_feature__noun_phrases__next_system_utterance__half_gallons',b'5',351.7964,0.0000
18,b'5-phrase_feature__noun_phrases__next_system_utterance__yellow_cake_mix',b'5',351.6712,0.0000
19,b'7-syntactic_feature__root_word__next_system_utterance__buy',b'7',349.5698,0.0000
20,b'7-syntactic_feature__root_word__next_system_utterance__extract',b'7',344.4768,0.0000
21,b'7-syntactic_feature__root_word__current_user_utterance__work',b'7',339.6939,0.0000
22,b'7-syntactic_feature__root_word__next_system_utterance__litter',b'7',327.9754,0.0000
23,b'7-syntactic_feature__root_word__next_user_utterance__water',b'7',315.2330,0.0000
24,b'7-syntactic_feature__obj_word__next_system_utterance__raai',b'7',314.5180,0.0000
25,b'7-syntactic_feature__root_word__next_system_utterance__washer',b'7',303.6067,0.0000
26,b'5-phrase_feature__noun_phrases__next_system_utterance__parmesan_cheese_\\',b'5',299.1515,0.0000
27,b'7-syntactic_feature__root_word__next_system_utterance__death',b'7',297.2825,0.0000
28,b'7-syntactic_feature__obj_word__next_system_utterance__pud',b'7',297.2295,0.0000
29,b"5-phrase_feature__noun_phrases__next_system_utterance__n'test",b'5',295.9841,0.0000
30,b'7-syntactic_feature__subj_word__next_system_utterance__quarter',b'7',293.9305,0.0000
31,b'7-syntactic_feature__obj_word__next_system_utterance__syrup',b'7',285.7022,0.0000
32,b'1-utterance_length.next_system_utterance__utterance_length',b'1',285.2474,0.0000
33,b'5-phrase_feature__noun_phrases__next_system_utterance__grapeseed_oil',b'5',279.4974,0.0000
34,b'7-syntactic_feature__root_word__next_system_utterance__gopi',b'7',279.0882,0.0000
35,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',b'2.3.1',272.2220,0.0000
36,b'7-syntactic_feature__obj_word__next_system_utterance__https://goo.gl/xijrt1',b'7',270.4851,0.0000
37,b'7-syntactic_feature__root_word__next_system_utterance__5-7',b'7',267.7295,0.0000
38,b'7-syntactic_feature__subj_word__next_system_utterance__noodl',b'7',267.0933,0.0000
39,b'5-phrase_feature__noun_phrases__next_system_utterance__n14',b'5',260.7042,0.0000
40,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',b'5',260.2771,0.0000
41,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nclick_https://help.yahoo.com/kb/bots/sln28142.html?impressions=true',b'5',259.5465,0.0000
42,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_n5',b'5',251.1650,0.0000
43,b'5-phrase_feature__noun_phrases__next_system_utterance__tidy_cats',b'5',246.1264,0.0000
44,b'7-syntactic_feature__root_word__next_system_utterance__nger',b'7',242.0051,0.0000
45,b'5-phrase_feature__noun_phrases__next_system_utterance__n24',b'5',241.9232,0.0000
46,b'3-time_feature__time_ratio',b'3',229.2487,0.0000
47,b'6-entity_feature__entity__next_system_utterance__fri, jun 2 at 12 pm_TIME',b'6',224.7304,0.0000
48,b'1-utterance_length.current_user_utterance__utterance_length',b'1',223.7570,0.0000
49,b'5-phrase_feature__noun_phrases__next_system_utterance__fresh_produce_\\',b'5',219.2357,0.0000
50,b'6-entity_feature__entity__next_system_utterance__3 at 10 am_TIME',b'6',217.1542,0.0000
51,b'7-syntactic_feature__subj_word__current_user_utterance__turn',b'7',217.1369,0.0000
52,b'5-phrase_feature__noun_phrases__next_system_utterance__sd_office',b'5',214.5455,0.0000
53,b'5-phrase_feature__noun_phrases__next_system_utterance__sd',b'5',214.5455,0.0000
54,b'7-syntactic_feature__obj_word__next_system_utterance__alanah',b'7',214.5455,0.0000
55,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nclick',b'5',214.5455,0.0000
56,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nfor',b'5',214.5455,0.0000
57,b'5-phrase_feature__noun_phrases__next_system_utterance__nreply_stop',b'5',214.5455,0.0000
58,b'5-phrase_feature__noun_phrases__next_system_utterance__nreply',b'5',214.5455,0.0000
59,b'5-phrase_feature__noun_phrases__next_system_utterance__nonslip_hangers',b'5',214.5455,0.0000
60,b'5-phrase_feature__noun_phrases__next_system_utterance__noodle_\\',b'5',214.5455,0.0000
61,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nto',b'5',214.5455,0.0000
62,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nhere',b'5',214.5455,0.0000
63,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nif',b'5',214.5455,0.0000
64,b'5-phrase_feature__noun_phrases__next_system_utterance__lb_ground',b'5',214.5064,0.0000
65,b'6-entity_feature__entity__next_system_utterance__7 pm_TIME',b'6',211.4428,0.0000
66,b'7-syntactic_feature__root_word__next_system_utterance__seawe',b'7',210.9131,0.0000
