id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
33295,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',1238.2639,1,1.0000,0
30948,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',743.7167,9,0.9719,1
36141,5,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',351.6712,18,0.7874,2
33038,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',295.9841,30,0.5478,3
45115,7,b'7-syntactic_feature__root_word__next_system_utterance__find',344.4768,20,0.4753,4
35106,5,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry',355.6549,15,0.2660,5
34536,5,b'5-phrase_feature__noun_phrases__next_system_utterance__request',1501.9779,0,0.2345,6
28935,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor',1040.3301,2,0.1885,7
28936,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor_example',1040.3301,3,0.1832,8
33182,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor',1040.3301,4,0.1702,9
33183,5,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',1040.3301,5,0.1351,10
46852,7,b'7-syntactic_feature__subj_word__next_system_utterance__titl',506.3669,11,0.1325,11
33,3,b'3-time_feature__turns_to_end',671.9179,10,0.1239,12
33267,5,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry',365.0066,13,0.1077,13
28950,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry',365.0066,14,0.0972,14
2789,1,b'1-utterance_length.next_system_utterance__utterance_length',897.9034,8,0.0657,15
32352,5,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',388.6406,12,0.0364,16
44719,7,b"7-syntactic_feature__root_word__next_system_utterance__''",339.6939,21,0.0355,17
46758,7,b'7-syntactic_feature__subj_word__next_system_utterance__remind',293.9305,31,0.0348,18
43607,7,b'7-syntactic_feature__obj_word__next_system_utterance__remind',297.2295,29,0.0318,19
24471,4.1,b'4.1-ngram.next_user_utterance__yes',315.2330,23,0.0301,20
43612,7,b'7-syntactic_feature__obj_word__next_system_utterance__request',314.5180,25,0.0299,21
45329,7,b'7-syntactic_feature__root_word__next_system_utterance__lunch',327.9754,22,0.0296,22
46230,7,b'7-syntactic_feature__root_word__next_user_utterance__ye',315.2330,24,0.0290,23
44911,7,b'7-syntactic_feature__root_word__next_system_utterance__call',349.5698,19,0.0289,24
28955,5,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nyou',935.3846,6,0.0254,25
33115,5,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nyou',935.3846,7,0.0237,26
45889,7,b'7-syntactic_feature__root_word__next_system_utterance__what',303.6067,26,0.0203,27
40993,6,b'6-entity_feature__entity__next_system_utterance__halloween_DATE',351.7964,17,0.0176,28
31545,5,b'5-phrase_feature__noun_phrases__next_system_utterance__halloween_party',351.7964,16,0.0100,29
33593,5,b'5-phrase_feature__noun_phrases__next_system_utterance__party',299.1515,27,0.0053,30
45054,7,b'7-syntactic_feature__root_word__next_system_utterance__did',297.2825,28,0.0022,31
