data_id,session_id,user_id,time,direction,msg_text,ground-truth,prediction,annotion,note
2, 1, , , , , C, "['R', 'R', 'R', 'R', 'R']", , 
2, 1, 2082, 0, bot_to_sb, "Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?", , , , 
2, 1, 2082, 0, user_to_sb, "noise", , , , 
2, 1, 2082, 1, bot_to_sb, "What part of town do you have in mind?", , , , 
2, 1, 2082, 1, user_to_sb, "im looking for a restaurant that serves", , , , 
2, 1, 2082, 2, bot_to_sb, "What part of town do you have in mind?", , , , 
2, 1, 2082, 2, user_to_sb, "i dont care", , , , 
2, 1, 2082, 3, bot_to_sb, "What kind of food would you like?", , , , 
2, 1, 2082, 3, user_to_sb, "bistro food", , , , 
2, 1, 2082, 4, bot_to_sb, "I'm sorry but there is no restaurant serving bistro food", , , , 
2, 1, 2082, 4, user_to_sb, "how about asian oriental food", C, "['R', 'R', 'R', 'R', 'R']", , 
2, 1, 2082, 5, bot_to_sb, "You are looking for a asian oriental restaurant right?", , , , 
2, 1, 2082, 5, user_to_sb, "yes", , , , 
2, 1, 2082, 6, bot_to_sb, "Would you like something in the cheap , moderate , or expensive price range?", , , , 
2, 1, 2082, 6, user_to_sb, "um i dont care about the price", , , , 
2, 1, 2082, 7, bot_to_sb, "dojo noodle bar serves asian oriental food", , , , 
2, 1, 2082, 7, user_to_sb, "may i have the address and post code", , , , 
2, 1, 2082, 8, bot_to_sb, "Sure , dojo noodle bar is on 40210 Millers Yard City Centre", , , , 
2, 1, 2082, 8, user_to_sb, "what is their post code", , , , 
2, 1, 2082, 9, bot_to_sb, "The post code of dojo noodle bar is C.B 2, 1 R.Q", , , , 
2, 1, 2082, 9, user_to_sb, "great thank you good bye", , , , 

7, 2, , , , , R, "['C', 'C', 'C', 'C', 'C']", , 
7, 2, 580, 0, bot_to_sb, "Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?", , , , 
7, 2, 580, 0, user_to_sb, "expensive restaurant", R, "['C', 'C', 'C', 'C', 'C']", , 
7, 2, 580, 1, bot_to_sb, "Would you like something in the cheap , moderate , or expensive price range?", , , , 
7, 2, 580, 1, user_to_sb, "expensive", , , , 
7, 2, 580, 2, bot_to_sb, "zizzi cambridge is a great restaurant", , , , 
7, 2, 580, 2, user_to_sb, "irish", , , , 
7, 2, 580, 3, bot_to_sb, "I am sorry but there is no irish restaurant that matches your request", , , , 
7, 2, 580, 3, user_to_sb, "italian", , , , 
7, 2, 580, 4, bot_to_sb, "zizzi cambridge serves italian food .", , , , 
7, 2, 580, 4, user_to_sb, "address", , , , 
7, 2, 580, 5, bot_to_sb, "Sure , zizzi cambridge is on 47-53 Regent Street", , , , 
7, 2, 580, 5, user_to_sb, "phone number", , , , 
7, 2, 580, 6, bot_to_sb, "The phone number of zizzi cambridge is 01223 365599 .", , , , 
7, 2, 580, 6, user_to_sb, "area", , , , 
7, 2, 580, 7, bot_to_sb, "zizzi cambridge serves italian food .", , , , 
7, 2, 580, 7, user_to_sb, "area", , , , 
7, 2, 580, 8, bot_to_sb, "zizzi cambridge is a nice place in the centre of town", , , , 
7, 2, 580, 8, user_to_sb, "thank you good bye", , , , 

17, 3, , , , , C, "['F', 'F', 'F', 'F', 'F']", , 
17, 3, 1476, 0, bot_to_sb, "Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?", , , , 
17, 3, 1476, 0, user_to_sb, "expensive restaurant in the south part of town", , , , 
17, 3, 1476, 1, bot_to_sb, "What kind of food would you like?", , , , 
17, 3, 1476, 1, user_to_sb, "i dont care", , , , 
17, 3, 1476, 2, bot_to_sb, "Would you like something in the cheap , moderate , or expensive price range?", , , , 
17, 3, 1476, 2, user_to_sb, "expensive", C, "['F', 'F', 'F', 'F', 'F']", , 
17, 3, 1476, 3, bot_to_sb, "the good luck chinese food takeaway is a nice place in the south of town and the prices are expensive", , , , 
17, 3, 1476, 3, user_to_sb, "anything else", , , , 
17, 3, 1476, 4, bot_to_sb, "chiquito restaurant bar is a nice place in the south of town and the prices are expensive", , , , 
17, 3, 1476, 4, user_to_sb, "what type of food", , , , 
17, 3, 1476, 5, bot_to_sb, "chiquito restaurant bar serves mexican food", , , , 
17, 3, 1476, 5, user_to_sb, "address", , , , 
17, 3, 1476, 6, bot_to_sb, "Sure , chiquito restaurant bar is on 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton", , , , 
17, 3, 1476, 6, user_to_sb, "phone number", , , , 
17, 3, 1476, 7, bot_to_sb, "The phone number of chiquito restaurant bar is 01223 400170 .", , , , 
17, 3, 1476, 7, user_to_sb, "thank you good bye", , , , 

64, 12, , , , , C, "['R', 'R', 'R', 'R', 'R']", , 
64, 12, 1851, 0, bot_to_sb, "Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?", , , , 
64, 12, 1851, 0, user_to_sb, "moderately priced restaurant halal food", , , , 
64, 12, 1851, 1, bot_to_sb, "What part of town do you have in mind?", , , , 
64, 12, 1851, 1, user_to_sb, "doesnt matter", , , , 
64, 12, 1851, 2, bot_to_sb, "Ok , a restaurant in any part of town is that right?", , , , 
64, 12, 1851, 2, user_to_sb, "yes", , , , 
64, 12, 1851, 3, bot_to_sb, "What kind of food would you like?", , , , 
64, 12, 1851, 3, user_to_sb, "halal", C, "['R', 'R', 'R', 'R', 'R']", , 
64, 12, 1851, 4, bot_to_sb, "de luca cucina and bar is in the moderate price range", , , , 
64, 12, 1851, 4, user_to_sb, "again please", , , , 
64, 12, 1851, 5, bot_to_sb, "the nirala serves indian food in the moderate price range", , , , 
64, 12, 1851, 5, user_to_sb, "may i have the address and post code", , , , 
64, 12, 1851, 6, bot_to_sb, "the nirala is on 7 Milton Road Chesterton , C.B 4, 1 U.Y", , , , 
64, 12, 1851, 6, user_to_sb, "again please", , , , 
64, 12, 1851, 7, bot_to_sb, "the nirala serves indian food in the moderate price range", , , , 
64, 12, 1851, 7, user_to_sb, "address", , , , 
64, 12, 1851, 8, bot_to_sb, "Sure , the nirala is on 7 Milton Road Chesterton", , , , 
64, 12, 1851, 8, user_to_sb, "postal code", , , , 
64, 12, 1851, 9, bot_to_sb, "The post code of the nirala is C.B 4, 1 U.Y", , , , 
64, 12, 1851, 9, user_to_sb, "post code", , , , 
64, 12, 1851, 10, bot_to_sb, "The post code of the nirala is C.B 4, 1 U.Y", , , , 
64, 12, 1851, 10, user_to_sb, "thank", , , , 
64, 12, 1851, 11, bot_to_sb, "curry prince serves indian food in the moderate price range", , , , 
64, 12, 1851, 11, user_to_sb, "again", , , , 
64, 12, 1851, 12, bot_to_sb, "meghna serves indian food in the moderate price range", , , , 
64, 12, 1851, 12, user_to_sb, "repeat", , , , 
64, 12, 1851, 13, bot_to_sb, "rajmahal serves indian food in the moderate price range", , , , 
64, 12, 1851, 13, user_to_sb, "re", , , , 
64, 12, 1851, 14, bot_to_sb, "rajmahal is a great restaurant", , , , 
64, 12, 1851, 14, user_to_sb, "address", , , , 
64, 12, 1851, 15, bot_to_sb, "Sure , rajmahal is on 7 Barnwell Road Fen Ditton", , , , 
64, 12, 1851, 15, user_to_sb, "repeat", , , , 
64, 12, 1851, 16, bot_to_sb, "I am sorry but there is no other indian restaurant in the moderate price range", , , , 
64, 12, 1851, 16, user_to_sb, "address", , , , 
64, 12, 1851, 17, bot_to_sb, "rajmahal is a great restaurant", , , , 
64, 12, 1851, 17, user_to_sb, "address", , , , 
64, 12, 1851, 18, bot_to_sb, "Sure , rajmahal is on 7 Barnwell Road Fen Ditton", , , , 
64, 12, 1851, 18, user_to_sb, "fen ditton", , , , 
64, 12, 1851, 19, bot_to_sb, "The post code of rajmahal is C.B 5, 8 R.G", , , , 
64, 12, 1851, 19, user_to_sb, "post code", , , , 
64, 12, 1851, 20, bot_to_sb, "The post code of rajmahal is C.B 5, 8 R.G", , , , 
64, 12, 1851, 20, user_to_sb, "thank", , , , 
64, 12, 1851, 21, bot_to_sb, "the nirala serves indian food in the moderate price range", , , , 
64, 12, 1851, 21, user_to_sb, "address", , , , 
64, 12, 1851, 22, bot_to_sb, "the nirala is a great restaurant", , , , 
64, 12, 1851, 22, user_to_sb, "address", , , , 
64, 12, 1851, 23, bot_to_sb, "Sure , the nirala is on 7 Milton Road Chesterton", , , , 
64, 12, 1851, 23, user_to_sb, "post code", , , , 
64, 12, 1851, 24, bot_to_sb, "The post code of the nirala is C.B 4, 1 U.Y", , , , 
64, 12, 1851, 24, user_to_sb, "thank you good bye", , , , 
64, 12, 1851, 25, bot_to_sb, "the nirala is a great restaurant", , , , 
64, 12, 1851, 25, user_to_sb, "thank you good bye", , , , 

66, 12, , , , , F, "['R', 'R', 'R', 'R', 'R']", , 
66, 12, 1851, 0, bot_to_sb, "Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?", , , , 
66, 12, 1851, 0, user_to_sb, "moderately priced restaurant halal food", , , , 
66, 12, 1851, 1, bot_to_sb, "What part of town do you have in mind?", , , , 
66, 12, 1851, 1, user_to_sb, "doesnt matter", , , , 
66, 12, 1851, 2, bot_to_sb, "Ok , a restaurant in any part of town is that right?", , , , 
66, 12, 1851, 2, user_to_sb, "yes", , , , 
66, 12, 1851, 3, bot_to_sb, "What kind of food would you like?", , , , 
66, 12, 1851, 3, user_to_sb, "halal", , , , 
66, 12, 1851, 4, bot_to_sb, "de luca cucina and bar is in the moderate price range", , , , 
66, 12, 1851, 4, user_to_sb, "again please", , , , 
66, 12, 1851, 5, bot_to_sb, "the nirala serves indian food in the moderate price range", , , , 
66, 12, 1851, 5, user_to_sb, "may i have the address and post code", F, "['R', 'R', 'R', 'R', 'R']", , 
66, 12, 1851, 6, bot_to_sb, "the nirala is on 7 Milton Road Chesterton , C.B 4, 1 U.Y", , , , 
66, 12, 1851, 6, user_to_sb, "again please", , , , 
66, 12, 1851, 7, bot_to_sb, "the nirala serves indian food in the moderate price range", , , , 
66, 12, 1851, 7, user_to_sb, "address", , , , 
66, 12, 1851, 8, bot_to_sb, "Sure , the nirala is on 7 Milton Road Chesterton", , , , 
66, 12, 1851, 8, user_to_sb, "postal code", , , , 
66, 12, 1851, 9, bot_to_sb, "The post code of the nirala is C.B 4, 1 U.Y", , , , 
66, 12, 1851, 9, user_to_sb, "post code", , , , 
66, 12, 1851, 10, bot_to_sb, "The post code of the nirala is C.B 4, 1 U.Y", , , , 
66, 12, 1851, 10, user_to_sb, "thank", , , , 
66, 12, 1851, 11, bot_to_sb, "curry prince serves indian food in the moderate price range", , , , 
66, 12, 1851, 11, user_to_sb, "again", , , , 
66, 12, 1851, 12, bot_to_sb, "meghna serves indian food in the moderate price range", , , , 
66, 12, 1851, 12, user_to_sb, "repeat", , , , 
66, 12, 1851, 13, bot_to_sb, "rajmahal serves indian food in the moderate price range", , , , 
66, 12, 1851, 13, user_to_sb, "re", , , , 
66, 12, 1851, 14, bot_to_sb, "rajmahal is a great restaurant", , , , 
66, 12, 1851, 14, user_to_sb, "address", , , , 
66, 12, 1851, 15, bot_to_sb, "Sure , rajmahal is on 7 Barnwell Road Fen Ditton", , , , 
66, 12, 1851, 15, user_to_sb, "repeat", , , , 
66, 12, 1851, 16, bot_to_sb, "I am sorry but there is no other indian restaurant in the moderate price range", , , , 
66, 12, 1851, 16, user_to_sb, "address", , , , 
66, 12, 1851, 17, bot_to_sb, "rajmahal is a great restaurant", , , , 
66, 12, 1851, 17, user_to_sb, "address", , , , 
66, 12, 1851, 18, bot_to_sb, "Sure , rajmahal is on 7 Barnwell Road Fen Ditton", , , , 
66, 12, 1851, 18, user_to_sb, "fen ditton", , , , 
